# statink_id,rotation_period,shift_start,shift_start,splatnet_number,stage_key,stage_name,clear_wave,fail_reason,fail_reason,hazard_level,title_before,title_before,title_before,title_after,title_after,title_after,w1_event,w1_event,w1_water,w1_water,w1_quota,w1_delivers,w1_appearances,w1_pwr_eggs,w2_event,w2_event,w2_water,w2_water,w2_quota,w2_delivers,w2_appearances,w2_pwr_eggs,w3_event,w3_event,w3_water,w3_water,w3_quota,w3_delivers,w3_appearances,w3_pwr_eggs,player_id,player_name,player_w1_weapon,player_w1_weapon,player_w2_weapon,player_w2_weapon,player_w3_weapon,player_w3_weapon,player_special,player_special,player_w1_sp_use,player_w2_sp_use,player_w3_sp_use,player_rescues,player_rescued,player_golden_eggs,player_power_eggs,mate1_id,mate1_name,mate1_w1_weapon,mate1_w1_weapon,mate1_w2_weapon,mate1_w2_weapon,mate1_w3_weapon,mate1_w3_weapon,mate1_special,mate1_special,mate1_w1_sp_use,mate1_w2_sp_use,mate1_w3_sp_use,mate1_rescues,mate1_rescued,mate1_golden_eggs,mate1_power_eggs,mate2_id,mate2_name,mate2_w1_weapon,mate2_w1_weapon,mate2_w2_weapon,mate2_w2_weapon,mate2_w3_weapon,mate2_w3_weapon,mate2_special,mate2_special,mate2_w1_sp_use,mate2_w2_sp_use,mate2_w3_sp_use,mate2_rescues,mate2_rescued,mate2_golden_eggs,mate2_power_eggs,mate3_id,mate3_name,mate3_w1_weapon,mate3_w1_weapon,mate3_w2_weapon,mate3_w2_weapon,mate3_w3_weapon,mate3_w3_weapon,mate3_special,mate3_special,mate3_w1_sp_use,mate3_w2_sp_use,mate3_w3_sp_use,mate3_rescues,mate3_rescued,mate3_golden_eggs,mate3_power_eggs,drizzler_appearances,drizzler_player_kills,drizzler_mate1_kills,drizzler_mate2_kills,drizzler_mate3_kills,flyfish_appearances,flyfish_player_kills,flyfish_mate1_kills,flyfish_mate2_kills,flyfish_mate3_kills,goldie_appearances,goldie_player_kills,goldie_mate1_kills,goldie_mate2_kills,goldie_mate3_kills,griller_appearances,griller_player_kills,griller_mate1_kills,griller_mate2_kills,griller_mate3_kills,maws_appearances,maws_player_kills,maws_mate1_kills,maws_mate2_kills,maws_mate3_kills,scrapper_appearances,scrapper_player_kills,scrapper_mate1_kills,scrapper_mate2_kills,scrapper_mate3_kills,steel_eel_appearances,steel_eel_player_kills,steel_eel_mate1_kills,steel_eel_mate2_kills,steel_eel_mate3_kills,steelhead_appearances,steelhead_player_kills,steelhead_mate1_kills,steelhead_mate2_kills,steelhead_mate3_kills,stinger_appearances,stinger_player_kills,stinger_mate1_kills,stinger_mate2_kills,stinger_mate3_kills
21921,214566,1544911589,2018-12-15T17:06:29-05:00,672,donburako,Marooner's Bay,1,wipe_out,Wipe out,147.4,profreshional,Profreshional,190,profreshional,Profreshional,185,mothership,The Mothership,normal,Mid Tide,16,33,26,469,,,high,High Tide,18,33,18,906,,,,,20,,,,aeda69d2070fafb6,MunchCass,sharp,Splash-o-matic,52gal,.52 Gal,,,jetpack,Inkjet,0,0,,0,2,14,275,8e08b386efdb0e96,takaLv.777,rapid_elite,Rapid Blaster Pro,l3reelgun,L-3 Nozzlenose,,,presser,Sting Ray,1,0,,0,2,4,382,2f64b91c4ee5b9a4,Kheels,96gal,.96 Gal,rapid_elite,Rapid Blaster Pro,,,chakuchi,Splashdown,0,1,,2,0,14,300,6fc791f36be7ac83,Null,52gal,.52 Gal,96gal,.96 Gal,,,pitcher,Splat-Bomb Launcher,0,0,,2,0,14,418,7,,1,4,,2,,,,,0,,,,,0,,,,,3,,,,2,1,1,,,,1,,,1,,2,1,,,,1,,1,,
21922,214566,1544911892,2018-12-15T17:11:32-05:00,673,donburako,Marooner's Bay,3,,,116.2,profreshional,Profreshional,185,profreshional,Profreshional,205,mothership,The Mothership,normal,Mid Tide,14,51,33,756,,,normal,Mid Tide,15,36,20,636,,,high,High Tide,17,36,25,999,aeda69d2070fafb6,MunchCass,rapid_elite,Rapid Blaster Pro,kuma_charger,Grizzco Charger,52gal,.52 Gal,chakuchi,Splashdown,0,0,2,0,1,26,480,646760ebdcbf893e,Haley,kuma_charger,Grizzco Charger,52gal,.52 Gal,96gal,.96 Gal,pitcher,Splat-Bomb Launcher,0,0,0,1,0,23,601,e647986eb5401f97,ItWasMeDio,96gal,.96 Gal,rapid_elite,Rapid Blaster Pro,explosher,Explosher,presser,Sting Ray,2,0,0,0,0,18,503,eea4bf58e22a6b0e,Zalphus,52gal,.52 Gal,96gal,.96 Gal,rapid_elite,Rapid Blaster Pro,jetpack,Inkjet,0,0,2,0,0,11,807,3,,,,,2,,,1,,0,,,,,0,,,,,7,1,3,2,1,2,1,,,1,5,1,4,,,7,2,2,,1,4,1,2,,1
21923,214566,1544930672,2018-12-15T22:24:32-05:00,674,donburako,Marooner's Bay,2,time_limit,Time is up,105.6,profreshional,Profreshional,205,profreshional,Profreshional,205,,,low,Low Tide,13,30,26,742,,,normal,Mid Tide,14,27,15,479,fog,Fog,normal,Mid Tide,16,30,11,418,aeda69d2070fafb6,MunchCass,kuma_charger,Grizzco Charger,96gal,.96 Gal,52gal,.52 Gal,pitcher,Splat-Bomb Launcher,0,0,0,3,5,19,289,86a90ab7086e36af,Milly,52gal,.52 Gal,rapid_elite,Rapid Blaster Pro,96gal,.96 Gal,chakuchi,Splashdown,0,0,1,6,3,12,498,577c3e40755cdb09,∴☆Sκαrσγ☆∴,rapid_elite,Rapid Blaster Pro,52gal,.52 Gal,prime,Splattershot Pro,jetpack,Inkjet,0,1,0,3,4,9,357,b1fb830562d98a15,Daddy Rich,96gal,.96 Gal,clashblaster,Clash Blaster,rapid_elite,Rapid Blaster Pro,presser,Sting Ray,0,0,0,3,3,12,495,6,2,1,,,5,,1,,1,3,,,1,1,0,,,,,7,1,3,2,,4,,2,1,,3,2,,1,,6,,2,2,,5,,1,,2
21924,214566,1544931086,2018-12-15T22:31:26-05:00,675,donburako,Marooner's Bay,2,wipe_out,Wipe out,152.2,profreshional,Profreshional,205,profreshional,Profreshional,205,,,normal,Mid Tide,17,39,21,666,rush,Rush,normal,Mid Tide,18,39,31,1799,,,normal,Mid Tide,20,27,9,511,aeda69d2070fafb6,MunchCass,rapid_elite,Rapid Blaster Pro,52gal,.52 Gal,kelvin525,Glooga Dualies,presser,Sting Ray,0,0,1,2,5,21,366,390d0205dce27dfd,あ,96gal,.96 Gal,bottlegeyser,Squeezer,rapid_elite,Rapid Blaster Pro,jetpack,Inkjet,0,1,1,2,1,16,1013,b69d9754a3375c6e,ChunkFarmN,52gal,.52 Gal,rapid_elite,Rapid Blaster Pro,96gal,.96 Gal,pitcher,Splat-Bomb Launcher,0,1,1,2,1,8,693,d36daba597e75de6,NekoTamer,furo,Bloblobber,96gal,.96 Gal,52gal,.52 Gal,chakuchi,Splashdown,0,0,0,2,1,16,904,4,,1,1,,6,1,,,2,14,,7,2,4,0,,,,,3,,2,,1,3,,,,1,9,,3,2,2,5,,1,,1,4,,3,,1
21925,214566,1544931480,2018-12-15T22:38:00-05:00,676,donburako,Marooner's Bay,0,wipe_out,Wipe out,145.2,profreshional,Profreshional,205,profreshional,Profreshional,185,,,normal,Mid Tide,16,9,7,315,,,,,18,,,,,,,,20,,,,aeda69d2070fafb6,MunchCass,96gal,.96 Gal,,,,,presser,Sting Ray,0,,,0,0,3,47,d36daba597e75de6,NekoTamer,rapid_elite,Rapid Blaster Pro,,,,,pitcher,Splat-Bomb Launcher,0,,,0,0,0,90,394a3f96377a17d4,GaygentGay,52gal,.52 Gal,,,,,jetpack,Inkjet,0,,,0,0,3,48,f94974688b33a45a,Soul Power,nova,Luna Blaster,,,,,chakuchi,Splashdown,1,,,0,0,1,130,2,,,,,3,,,,,0,,,,,0,,,,,4,1,,,1,1,,,,1,0,,,,,2,,,,,1,,,,
21926,214590,1545081322,2018-12-17T16:15:22-05:00,677,dam,Spawning Grounds,3,,,137.0,profreshional,Profreshional,100,profreshional,Profreshional,120,,,normal,Mid Tide,15,39,31,681,,,normal,Mid Tide,17,33,24,664,,,normal,Mid Tide,19,48,26,807,aeda69d2070fafb6,MunchCass,soytuber,Goo Tuber,sshooter,Splattershot,clashblaster,Clash Blaster,presser,Sting Ray,0,0,0,1,2,26,295,a110d6ed5218e6ff,Mayhem,clashblaster,Clash Blaster,nautilus47,Nautilus 47,soytuber,Goo Tuber,pitcher,Splat-Bomb Launcher,0,0,2,3,1,23,636,e6f73acf8ca40a0b,IιAzu,sshooter,Splattershot,clashblaster,Clash Blaster,nautilus47,Nautilus 47,jetpack,Inkjet,0,0,1,1,1,13,651,9b26ce2d194d346b,bugchunk,nautilus47,Nautilus 47,soytuber,Goo Tuber,sshooter,Splattershot,chakuchi,Splashdown,0,0,2,2,3,19,570,6,1,,2,1,6,,1,1,1,0,,,,,0,,,,,2,,,,2,8,1,3,1,3,5,2,,2,1,12,1,3,2,6,9,3,,3,2
21927,214590,1545081767,2018-12-17T16:22:47-05:00,678,dam,Spawning Grounds,1,time_limit,Time is up,104.4,profreshional,Profreshional,120,profreshional,Profreshional,110,fog,Fog,normal,Mid Tide,13,31,28,586,,,normal,Mid Tide,14,27,13,490,,,,,16,,,,aeda69d2070fafb6,MunchCass,sshooter,Splattershot,nautilus47,Nautilus 47,,,chakuchi,Splashdown,0,0,,1,2,11,142,303196879efdf33c,BIGOATS,soytuber,Goo Tuber,clashblaster,Clash Blaster,,,pitcher,Splat-Bomb Launcher,0,0,,2,1,14,302,2f48b3ebd3574da7,Firedash42,clashblaster,Clash Blaster,soytuber,Goo Tuber,,,jetpack,Inkjet,0,0,,1,2,6,262,6acc01c739fdb6a8,Vony,nautilus47,Nautilus 47,sshooter,Splattershot,,,presser,Sting Ray,0,0,,2,1,10,370,3,,,1,,1,,,,,2,1,,,1,0,,,,,1,,,1,,5,1,1,1,1,2,,1,,1,4,1,,1,1,6,,3,,3
21928,214611,1545272406,2018-12-19T21:20:06-05:00,679,polaris,Ruins of Ark Polaris,3,,,143.6,profreshional,Profreshional,100,profreshional,Profreshional,120,,,high,High Tide,16,33,26,945,cohock_charge,Cohock Charge,low,Low Tide,17,45,35,1264,,,normal,Mid Tide,19,36,25,457,aeda69d2070fafb6,MunchCass,bamboo14mk1,Bamboozler 14 Mk I,rapid,Rapid Blaster,wakaba,Splattershot Jr.,pitcher,Splat-Bomb Launcher,0,0,0,1,6,32,247,169a84ac8a8364ca,Carlee2,sputtery,Dapple Dualies,bamboo14mk1,Bamboozler 14 Mk I,rapid,Rapid Blaster,jetpack,Inkjet,0,0,2,5,2,5,906,95a40a640c40a8f8,DonMario64,rapid,Rapid Blaster,wakaba,Splattershot Jr.,sputtery,Dapple Dualies,presser,Sting Ray,0,0,0,4,3,19,961,4d099e78a358ef83,Ruby,wakaba,Splattershot Jr.,sputtery,Dapple Dualies,bamboo14mk1,Bamboozler 14 Mk I,chakuchi,Splashdown,0,1,1,5,4,30,552,9,,4,3,2,6,,,1,,0,,,,,0,,,,,4,,1,,2,8,,5,2,1,6,1,1,3,1,12,1,3,5,1,3,,1,1,
21929,214611,1545272834,2018-12-19T21:27:14-05:00,680,polaris,Ruins of Ark Polaris,0,time_limit,Time is up,94.2,profreshional,Profreshional,120,profreshional,Profreshional,100,,,low,Low Tide,12,18,9,481,,,,,13,,,,,,,,15,,,,aeda69d2070fafb6,MunchCass,wakaba,Splattershot Jr.,,,,,pitcher,Splat-Bomb Launcher,0,,,2,2,2,84,f29432cd46536fdc,Tiramisu,rapid,Rapid Blaster,,,,,presser,Sting Ray,0,,,2,3,3,132,ac4cde149903528e,Hawkeye,bamboo14mk1,Bamboozler 14 Mk I,,,,,chakuchi,Splashdown,2,,,5,1,2,196,1c4c336cb6c84f12,Ender,sputtery,Dapple Dualies,,,,,jetpack,Inkjet,0,,,0,3,2,69,1,,,,,2,,1,,,0,,,,,0,,,,,2,,1,,1,0,,,,,1,,,1,,3,,,1,,1,1,,,
21930,214611,1545273010,2018-12-19T21:30:10-05:00,681,polaris,Ruins of Ark Polaris,3,,,100.4,profreshional,Profreshional,100,profreshional,Profreshional,120,,,normal,Mid Tide,13,27,16,542,,,normal,Mid Tide,14,21,18,400,,,normal,Mid Tide,12,27,19,449,aeda69d2070fafb6,MunchCass,bamboo14mk1,Bamboozler 14 Mk I,wakaba,Splattershot Jr.,rapid,Rapid Blaster,presser,Sting Ray,0,0,0,1,5,21,189,6ab3441835337769,veeka,wakaba,Splattershot Jr.,bamboo14mk1,Bamboozler 14 Mk I,sputtery,Dapple Dualies,pitcher,Splat-Bomb Launcher,0,0,0,4,2,12,373,4932e8420b69b6f4,ŞÞęčīřøßë*,rapid,Rapid Blaster,sputtery,Dapple Dualies,wakaba,Splattershot Jr.,jetpack,Inkjet,1,1,0,4,4,10,570,ac4cde149903528e,Hawkeye,sputtery,Dapple Dualies,rapid,Rapid Blaster,bamboo14mk1,Bamboozler 14 Mk I,chakuchi,Splashdown,0,0,0,4,2,10,259,6,,,4,,5,,,1,,0,,,,,0,,,,,6,1,2,2,,8,2,2,,1,3,1,,1,1,6,1,1,,,5,,2,1,2
